count,latitude,longitude,city,region_country,reason
1,47.90726,-2.98098,,,Confirmed Contributor
1,42.00407,-83.94521,,,Confirmed Contributor
1,50.71151,5.52762,,,Confirmed Contributor
1,45.19426,5.73167,,,Confirmed Contributor
1,53.38306,-1.46479,,,Confirmed Contributor
1,51.7804,5.85371,,,Confirmed Contributor
3,37.54715,-122.3144,,,Confirmed Contributor
1,34.09974,-117.6503,,,Confirmed Contributor
1,37.22134,-121.97964,,,Confirmed Contributor
2,38.57694,-121.49495,,,Confirmed Contributor
1,42.00691,-71.94447,,,Confirmed Contributor
1,41.92495,-72.62718,,,Confirmed Contributor
3,35.7813,-78.64168,,,Confirmed Contributor
1,51.4366,5.478,,,Confirmed Contributor
1,45.71355,4.80537,,,Confirmed Contributor
1,50.08431,8.23873,,,Confirmed Contributor
1,52.08205,5.23872,,,Confirmed Contributor
1,59.33279,18.06449,,,Confirmed Contributor
2,50.94053,6.9599,,,Confirmed Contributor
1,46.62282,6.50331,,,Confirmed Contributor
2,38.70701,-9.13564,,,Confirmed Contributor
1,45.96209,12.97711,,,Confirmed Contributor
1,36.16909,-115.14058,,,Confirmed Contributor
1,41.77896,-71.43581,,,Confirmed Contributor
1,52.51966,7.13254,,,Confirmed Contributor
1,34.27563,-118.50104,,,Confirmed Contributor
1,55.95019,-3.18755,,,Confirmed Contributor
24,-28.0015,153.42847,,,Confirmed Contributor
1,54.39758,-126.65728,,,Confirmed Contributor
1,30.68894,-88.04482,,,Confirmed Contributor
1,51.96471,7.6285,,,Confirmed Contributor
1,38.89605,-77.47686,,,Confirmed Contributor
1,-19.91818,-43.93705,,,Confirmed Contributor
2,4.60688,-74.07184,,,Confirmed Contributor
1,53.86962,10.68759,,,Confirmed Contributor
1,40.61631,-111.81052,,,Confirmed Contributor
1,51.32429,-0.19615,,,Confirmed Contributor
3,45.51602,-122.68143,,,Confirmed Contributor
1,49.41577,2.82248,,,Confirmed Contributor
1,35.65314,-97.48151,,,Confirmed Contributor
1,50.11705,8.49726,,,Confirmed Contributor
2,39.76845,-86.15621,,,Confirmed Contributor
1,49.64503,5.9894,,,Confirmed Contributor
1,22.99162,120.18503,,,Confirmed Contributor
1,51.48239,7.21237,,,Confirmed Contributor
1,37.07639,-88.63302,,,Confirmed Contributor
1,51.75374,-1.26346,,,Confirmed Contributor
1,52.09126,5.12275,,,Confirmed Contributor
1,28.51819,-98.85645,,,Confirmed Contributor
1,40.29712,-111.69501,,,Confirmed Contributor
