id,date,forum_site,registrations,posts,users
A918E005,2020-06-04,community.mattermost.com/core/channels/peer-to-peer-help,0,12,
1299BE07,2020-06-05,community.mattermost.com/core/channels/peer-to-peer-help,0,0,
FC21C32B,2020-06-06,community.mattermost.com/core/channels/peer-to-peer-help,0,0,
979693DD,2020-06-07,community.mattermost.com/core/channels/peer-to-peer-help,1,0,
4EE3FB5B,2020-06-08,community.mattermost.com/core/channels/peer-to-peer-help,5,0,
64FE3B35,2020-06-09,community.mattermost.com/core/channels/peer-to-peer-help,0,0,
B837E0D2,2020-06-10,community.mattermost.com/core/channels/peer-to-peer-help,3,5,
4B64B095,2020-06-11,community.mattermost.com/core/channels/peer-to-peer-help,2,1,
DB545A2F,2020-06-12,community.mattermost.com/core/channels/peer-to-peer-help,2,0,
F08D34C3,2020-06-13,community.mattermost.com/core/channels/peer-to-peer-help,1,5,
7D084E48,2020-06-14,community.mattermost.com/core/channels/peer-to-peer-help,2,0,
77F21D7A,2020-06-15,community.mattermost.com/core/channels/peer-to-peer-help,1,1,
E32E5A7F,2020-06-16,community.mattermost.com/core/channels/peer-to-peer-help,1,23,
3BC855B4,2020-06-17,community.mattermost.com/core/channels/peer-to-peer-help,2,8,
6394AAB0,2020-06-18,community.mattermost.com/core/channels/peer-to-peer-help,7,7,
DE250D89,2020-06-19,community.mattermost.com/core/channels/peer-to-peer-help,1,0,
86CD217B,2020-06-20,community.mattermost.com/core/channels/peer-to-peer-help,3,11,
EF505DEB,2020-06-21,community.mattermost.com/core/channels/peer-to-peer-help,1,3,
B3F8294A,2020-06-22,community.mattermost.com/core/channels/peer-to-peer-help,2,9,
E5B7E320,2020-06-23,community.mattermost.com/core/channels/peer-to-peer-help,1,4,
AEDEDB96,2020-06-24,community.mattermost.com/core/channels/peer-to-peer-help,0,1,
49A0976E,2020-06-25,community.mattermost.com/core/channels/peer-to-peer-help,1,8,
5FD75BD1,2020-06-26,community.mattermost.com/core/channels/peer-to-peer-help,2,9,
